차시,번호,유형,질문,보기,정답,해설
2차시,10,객관식,메테인(CH4) 1개 연소 시 생기는 물 분자 수는?,"1.1개, 2.2개, 3.3개, 4.4개",2,수소 4개이므로 물 2개가 생성됩니다.
3차시,1,객관식,질량 보존 법칙을 발견한 과학자는?,"1.프루스트, 2.라부아지에, 3.돌턴, 4.아보가드로",2,정밀 측정을 통해 라부아지에가 발견했습니다.
3차시,2,OX,나무를 태운 후 재의 질량은 처음보다 줄어든다.,O/X,O,기체가 날아가는 열린 용기이기 때문입니다.
3차시,3,단답형,질량이 보존되는 이유는 ( )의 종류와 개수가 일정해서다.,,원자,원자는 생성되거나 소멸되지 않습니다.
3차시,4,객관식,앙금 생성 반응 시 질량의 변화는?,"1.증가, 2.감소, 3.일정, 4.알 수 없음",3,닫힌 계와 같은 효과가 나타납니다.
3차시,5,OX,기체 발생 반응을 밀폐 용기에서 하면 질량이 일정하다.,O/X,O,빠져나가는 기체를 막으면 일정합니다.
3차시,6,객관식,철 10g이 산소와 반응해 14g 산화 철이 되면 산소 질량은?,"1.2g, 2.4g, 3.10g, 4.24g",2,14 - 10 = 4g입니다.
3차시,7,OX,질량 보존 법칙은 물리 변화에서도 성립한다.,O/X,O,물리/화학 변화 모두 성립합니다.
3차시,8,단답형,탄산 칼슘과 염산 반응 시 발생하는 기체는?,,이산화 탄소,기체 발생으로 질량이 줄어드는 예시입니다.
3차시,9,객관식,질량 보존 확인이 어려운 경우는?,"1.밀폐 용기, 2.열린 비커(기체 발생), 3.풍선, 4.진공",2,기체가 날아가 버리기 때문입니다.
3차시,10,객관식,강철솜 연소 시 질량이 늘어나는 이유는?,"1.질소 결합, 2.CO2 결합, 3.산소 결합, 4.수소 결합",3,산소와 결합하여 고체가 됩니다.
4차시,1,객관식,일정 성분비 법칙을 발견한 과학자는?,"1.프루스트, 2.라부아지에, 3.돌턴, 4.보일",1,프루스트가 제안했습니다.
4차시,2,OX,일정 성분비 법칙은 혼합물에서도 성립한다.,O/X,X,화합물에서만 성립합니다.
4차시,3,객관식,산화 구리(II) 생성 시 구리와 산소의 질량비는?,"1.1:1, 2.2:1, 3.4:1, 4.5:1",3,실험 결과 4:1의 질량비를 가집니다.
4차시,4,단답형,화합물 구성 원소 사이의 일정한 질량 관계는?,,일정 성분비 법칙,고유한 질량비를 가집니다.
4차시,5,OX,물(H2O)에서 수소와 산소의 질량비는 1:8이다.,O/X,O,수소 1g당 산소 8g이 결합합니다.
4차시,6,객관식,구리 8g을 완전히 연소시키면 산화 구리는 몇 g인가?,"1.2g, 2.8g, 3.10g, 4.12g",3,구리:산소=4:1이므로 8:2=10g 생성됩니다.
4차시,7,OX,화합물의 성분이 일정하면 원자 배열도 일정하다.,O/X,O,일정한 원자 수의 비로 결합하기 때문입니다.
4차시,8,단답형,수소 2g과 산소 20g으로 물을 만들 때 남는 물질은?,,산소,1:8비율이므로 산소 16g만 사용되어 4g 남습니다.
4차시,9,객관식,일정 성분비 법칙의 근거가 되는 가설은?,"1.원자설, 2.분자설, 3.아보가드로설, 4.기체설",1,돌턴의 원자설로 설명 가능합니다.
4차시,10,객관식,과산화 수소와 물의 성분비가 다른 이유는?,"1.원자 종류 다름, 2.원자 수 비 다름, 3.온도 다름, 4.압력 다름",2,결합하는 원자 수의 비가 다르기 때문입니다.
5차시,1,객관식,기체 반응 법칙을 발견한 과학자는?,"1.아보가드로, 2.게이뤼삭, 3.샤를, 4.보일",2,게이뤼삭이 제안했습니다.
5차시,2,OX,기체 반응 법칙은 고체나 액체에서도 성립한다.,O/X,X,기체 사이의 반응에서만 성립합니다.
5차시,3,객관식,수소:산소:수증기의 부피비는?,"1.1:1:1, 2.2:1:2, 3.1:2:1, 4.1:1:2",2,계수비와 같은 2:1:2입니다.
4차시,4,단답형,같은 부피 속 같은 수의 분자가 들어있다는 법칙은?,,아보가드로 법칙,모든 기체에 적용됩니다.
5차시,5,OX,기체 반응에서 부피비는 항상 계수비와 같다.,O/X,O,아보가드로 법칙 때문입니다.
5차시,6,객관식,질소 10mL와 수소가 반응해 암모니아 20mL가 되면 수소는?,"1.10mL, 2.20mL, 3.30mL, 4.40mL",3,1:3:2 비율이므로 30mL 필요합니다.
5차시,7,OX,기체 사이의 질량비는 항상 정수비로 나타난다.,O/X,X,부피비가 정수비이지 질량비는 아닙니다.
5차시,8,단답형,온도와 압력이 같을 때 모든 기체 분자가 차지하는 ( )는 같다.,,부피,입자 종류와 상관없이 부피가 같습니다.
5차시,9,객관식,기체 반응 법칙을 통해 알 수 있는 것은?,"1.원자 크기, 2.분자 수의 비, 3.원자 질량, 4.분자 무게",2,부피비가 곧 분자 수의 비입니다.
5차시,10,객관식,수증기 생성 반응에서 산소 10L와 수소 30L 반응 시 남는 것은?,"1.산소 5L, 2.수소 10L, 3.산소 10L, 4.수소 5L",2,2:1로 반응하므로 수소 20L만 사용되어 10L 남습니다.
6차시,1,객관식,에너지를 주변으로 방출하는 반응은?,"1.발열 반응, 2.흡열 반응, 3.단열 반응, 4.냉각 반응",1,열을 내보내는 발열 반응입니다.
6차시,2,OX,발열 반응이 일어나면 주변 온도가 올라간다.,O/X,O,열이 방출되어 따뜻해집니다.
6차시,3,객관식,식물의 광합성은 어떤 에너지 변화인가?,"1.발열, 2.흡열, 3.방출, 4.가열",2,빛에너지를 흡수하는 흡열 반응입니다.
6차시,4,단답형,주변에서 에너지를 흡수하여 온도를 낮추는 반응은?,,흡열 반응,주변이 차가워지는 반응입니다.
6차시,5,OX,연소 반응은 대표적인 흡열 반응이다.,O/X,X,빛과 열을 내는 대표적 발열 반응입니다.
6차시,6,객관식,휴대용 손난로의 원리가 되는 반응은?,"1.연소, 2.산화, 3.용해, 4.중화",2,철의 산화(발열) 반응을 이용합니다.
6차시,7,OX,세포 호흡은 체온을 유지해주는 발열 반응이다.,O/X,O,양분을 분해해 에너지를 냅니다.
6차시,8,단답형,발열 반응에서 반응물의 에너지는 생성물보다 ( ).,,크다,남는 에너지를 방출하기 때문입니다.
6차시,9,객관식,흡열 반응의 사례로 옳은 것은?,"1.금속 부식, 2.산과 염기 반응, 3.수산화 바륨과 질산 암모늄 반응, 4.나무 연소",3,주변 온도가 급격히 낮아지는 반응입니다.
6차시,10,객관식,염화 칼슘 제설제가 눈을 녹이는 원리는?,"1.흡열, 2.발열, 3.응고, 4.기화",2,물에 녹으며 열을 내어 눈을 녹입니다.
